# Generated by PyFunceble (v4.2.4.dev) / https://pyfunceble.github.io
# Date of generation: 2023-10-25T05:17:21.571590

Registrar                      Percentage   Amount      
------------------------------ ------------ ------------
URL Solutions, Inc.            40%          4           
CV. JOGJACAMP                  20%          2           
GoDaddy.com, LLC               20%          2           
Tucows Domains Inc.            20%          2           
URL Solutions, Inc.            40%          4           
CV. JOGJACAMP                  20%          2           
GoDaddy.com, LLC               20%          2           
Tucows Domains Inc.            20%          2           
